chapter_num,chapter_name,sub_topic,target_feature_or_symbol,apple_clang_observed_behavior,cleanroom_implementation_rule,source_reference
3,Driver,Bindings (`-ccc-print-bindings`),"`# ""air64_v28-apple-macosx26.0.0"" - ""clang"", inputs: [...], output: ""*.air""`",Driver binds invocation to `-target air64_v28-apple-macosx26.0.0` when targeting macOS SDK 26,Automatically map `-sdk macosx` + `-std=metal4.0` to triple `air64_v28-apple-macosx26.0.0` in `ToolChain`,docs/METAL_DRIVER_IMPL_MAP.md
3,Driver,cc1 Arguments (`-###` dump),`-triple air64-apple-darwin25.4.0 -x metal -fmetal-math-fp32-functions=fast -target-cpu air64`,Passes `-x metal` and `-emit-llvm-bc` (or `-S`) to `cc1` frontend sub-process,Ensure `cc1` argument parsing accepts all `-fmetal-...` options and forwards to `LangOptions` (`clang_frontend_impl_map.csv`),data/clang_frontend_impl_map.csv
4,Target,TargetInfo & DataLayout,`air64_v20..v28` DataLayout `e-p:64:64:64-i1:8:8-i8:8:8-...-v128:128:128-...-n8:16:32`,Identical 64-bit pointer DataLayout across all Apple Metal architectures (`air64_v20` to `v28`),"Set `PointerWidth=64`, `PointerAlign=64` across all address spaces `0..9` inside `AIR64TargetInfo`",data/metal_targetinfo_impl_map.csv
4,Target,Address Space Map (`as0..as9`),"`as0=default/thread`, `as1=device`, `as2=constant`, `as3=threadgroup`, `as4/9=ray_data/object_data`",`device float*` maps to `float addrspace(1)*` inside LLVM IR; `constant` to `addrspace(2)*`,"Configure exact `AddressSpaceMap` array in `AIRTargetInfo` matching Apple's address space indexing (`0,1,2,3,4,5,6,7,8,9`)",docs/METAL_TARGETINFO_IMPL_MAP.md
5,Builtin,All Builtins & IDs (`builtin_to_air_map.v2.csv`),"686 Builtins (`__metal_atomic_add`, `__metal_sample_texture_2d_t`, `__metal_intersect` etc.)","Look up exact `air.*` intrinsic candidate name, return type, and argument constraints",100% 1:1 mapping verified against reference header `__metal_*` tokens (`verify_map.py` C1 OK),data/builtin_to_air_map.v2.csv
5,Builtin,Builtin Attributes & CodeGen,`__attribute__((always_inline))` / `__attribute__((pure))` on MSL stdlib wrapper functions,All MSL stdlib headers (`metal_math` etc.) wrap `__metal_*` builtins in `inline __attribute__((always_inline))` C++ functions,Clean-room standard library (`stdlib_cleanroom_complete_map.csv`) uses inline attribute wrappers directly,data/stdlib_cleanroom_complete_map.csv
6,Diagnostics,Error / Warning / Note / FixIt List,"`error: invalid value 'metalX.Y' in '-std=metalX.Y'`, `error: buffer index 'N' exceeds maximum`",Diagnostic strings verified across `-std=` probe failure logs and resource bounds checks (`compile.err`),Implement matching diagnostic ID strings and parameter formatting inside `DiagnosticSemaKinds.td` and `DiagnosticDriverKinds.td`,data/metal_sema_impl_map.csv
7,Dump,Dump Modes Verification (`-ast-dump=json` / `-dump-tokens` / `-E` / `-###`),"JSON AST root `TranslationUnitDecl`, raw token list `annot_module_include`, driver invocation `-###`",Real hardware outputs exactly confirmed (`test_14chapters_probe.py` execution logs),"Clean-room compiler supports `-Xclang -ast-dump=json`, `-dump-tokens`, `-ccc-print-phases`, and `-E` with identical schema",test_14chapters_probe.py
8,LLVM,LLVM IR & AIR Bitcode Corpus,"54 Golden probe `.ll` files + 13,067 RTLib unique runtime symbols (`ir_runtime_functions.csv`)","Apple rtlib IR signatures (`ir_air_signatures.csv` 8,200 decls) and all `.ll` probe files verified",Clean-room IR output passes `verify_map.py` (C1-C7) and `analyze_metallib.py` without discrepancy,docs/IR_GROUND_TRUTH.md
9,GPUCompiler,Framework Symbols & AIRNT C API,`libGPUCompilerImplLazy.dylib` / `libGPUCompilerImpl.dylib` 98 symbols (`AIRNTGetLLVMVersion_Default` etc.),"`AIRNTGetLLVMVersion_Default` -> `0x0` / `2.8.0`, `AIRNTGetLegalizationPasses_Opaque_Default` -> `True`",Direct `ctypes` / C API invocation verified on real macOS hardware (`test_airnt_api.py`),scripts/test_airnt_api.py
10,metalfe,"metalfe Symbols, Strings & Diagnostics",`metalfe` strings extraction from `/usr/metal/32023/lib/` (36 binary dylibs),"Extracted **15,643 unique `air.*` intrinsic strings** (`air_dictionary_from_binaries.txt`) directly from compiler binaries",Bypassed encrypted `.xip` requirement; complete vocabulary dictionary verified (`C6 vocab OK`),data/air_dictionary_from_binaries.txt
11,Runtime,Runtime Library List & Invocation (`lib*rt`),"42 precompiled `.rtlib` / `.metallib` modules (`libair_rt_osx.rtlib`, `libtracepoint_rt_osx.metallib`, `MTLRaytracingRuntime.rtlib`)",`__air_ra_check_buffer_read` injected when bounds checking active; `__tracepoint_data` linked when `-g` active,"Quantified in `rtlib_metal_only_map.csv` (12,668 symbols) and `stdlib_rtlib_behavioral_logic_map.csv`",data/rtlib_metal_only_map.csv
12,Standard Library,metal_stdlib All Versions & Modules (`module.modulemap`),"71 header entities (`simd/simd.h` -> `simd.metal`, `metal_math`, `metal_raytracing`, `metal_tensor` etc.)",All 71 headers + 42 precompiled library modules mapped (`stdlib_cleanroom_complete_map.csv` 113 rows),"Exhaustive individualized behavioral logic across all 7,744+ overloads quantified (`stdlib_exhaustive_behavioral_map.csv`)",data/stdlib_exhaustive_behavioral_map.csv
13,Version,Xcode & Metal Version Differences across Hardware,"Real hardware probe across 15 Xcodes (`Xcode 26.0/26.0.1/26.1/26.1.1`->`.830`, `26.2/26.3`->`.864`, `26.4/26.5/26.6`->`.883`)",Metal 1.0..2.4 requires `macos-metalX.Y` prefix; Metal 3.0..4.0 prefixless; `metal4.1` clean-room forward compatibility established,Quantified in `legacy_metal_support_map.csv` (13 generations) and `metal_version_target_specific_map.csv`,data/legacy_metal_support_map.csv
14,Verification,Comparison & Byte-Level Verification (`analyze_metallib.py`),Byte-identical `.metallib` container verification (`write_metallib.py` vs Apple `xcrun metal -o`),"Verified `MTLB` slice header, Directory Header (`headers_len`), Tag records (`NAME..MDSZ`), and `HDYN` separation","Real macOS hardware loaded generated `.metallib` via `swift test_load.swift` (`makeLibrary(data:)` & `makeFunction(""my_kernel"")` OK)",docs/METALLIB_WRITER_SPEC.md
