__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample,evidence_source,evidence_ref,protocol,confidence,grammar_eligible,probe_cell,observed_at,verified_at,verified_by,last_change,changed_by
__metal_atan,free+method,30,air.atan.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:46: return __metal_atan(y_over_x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_atan2,free+method,30,air.atan2.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:50: return __metal_atan2(y, x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_atanh,free+method,30,air.atanh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:54: return __metal_atanh(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit,method,2,air.atomic.global.cmpxchg.weak.i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_atomic:349: bool swapped = __metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(ob",xcode_probe_golden,"golden/P07F40v3/metal40_macosx26/probe.ll @probe_p07f_atomic_compare_exchange_weak_explicit_0: %5 = call i32 @air.atomic.global.cmpxchg.weak.i32(i32 addrspace(1)* nocapture %4, i32* nocapture nonnull %2, i32 0, i32 0, i32 0, i32 2, i1 true) #7",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:52Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_1d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d_array:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coo",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_0: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_1d_array.u.v4i32(%struct._texture_1d_array_t addrspace(1)* nocapture %0, i32 0, i32 0, <4 x i32>* nonnull %2, <4 x i",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_1: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_1d.u.v4i32(%struct._texture_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32>* nonnull %2, <4 x i32> zeroinitializer",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_2d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d_array:1392: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, co",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_2: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_2d_array.u.v4i32(%struct._texture_2d_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, <2 x i32>",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_2d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d:1404: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_3: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_2d.u.v4i32(%struct._texture_2d_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, <2 x i32> zeroinitializer, <",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_3d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture3d:1290: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_4: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_3d.u.v4i32(%struct._texture_3d_t addrspace(1)* nocapture %0, <3 x i32> zeroinitializer, <3 x i32> zeroinitializer, <",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_buffer_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture_buffer:402: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coo",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_5: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_buffer_1d.u.v4i32(%struct._texture_buffer_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32>* nonnull %2, <4 x i32> z",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_cube_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),__bits/metal_texturecube_array:1419: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t,xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_6: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_cube_array.u.v4i32(%struct._texture_cube_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, i32 0",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_cube.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texturecube:1422: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, fac",xcode_probe_golden,"golden/P06M40v3/metal40_macosx26/probe.ll @probe_p06m_atomic_compare_exchange_weak_7: %4 = call i1 @air.atomic_compare_exchange_weak_explicit_texture_cube.u.v4i32(%struct._texture_cube_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, <4 x i32>* nonnul",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:42Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit,method,2,air.atomic.global.xchg.i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_atomic:294: return T(__metal_atomic_exchange_explicit(&object->__s , decltype(object->__s)(desired), int(order), _",xcode_probe_golden,"golden/P07F40v3/metal40_macosx26/probe.ll @probe_p07f_atomic_exchange_explicit_1: %3 = tail call i32 @air.atomic.global.xchg.i32(i32 addrspace(1)* nocapture %2, i32 0, i32 0, i32 2, i1 true) #7",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:52Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_1d_array_t,method,12,air.atomic_exchange_explicit_texture_1d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d_array:816: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, de",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_exchange_0: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_1d_array.u.v4i32(%struct._texture_1d_array_t addrspace(1)* nocapture %0, i32 0, i32 0, <4 x i32> zeroinitializer, i32",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_1d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_1d_t,method,12,air.atomic_exchange_explicit_texture_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d:816: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMO",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_exchange_1: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_1d.u.v4i32(%struct._texture_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32> zeroinitializer, i32 0, i32 3) #15",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_2d_array_t,method,12,air.atomic_exchange_explicit_texture_2d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d_array:1472: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, u",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_exchange_2: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_2d_array.u.v4i32(%struct._texture_2d_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, <2 x i32> ",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_2d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_2d_t,method,12,air.atomic_exchange_explicit_texture_2d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d:1484: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, ushort2(0), desired,",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_exchange_3: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_2d.u.v4i32(%struct._texture_2d_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, <2 x i32> zeroinitializer, <4",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_2d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_3d_t,method,12,air.atomic_exchange_explicit_texture_3d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture3d:1370: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, ushort3(0), desired,",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_exchange_4: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_3d.u.v4i32(%struct._texture_3d_t addrspace(1)* nocapture %0, <3 x i32> zeroinitializer, <3 x i32> zeroinitializer, <4",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_3d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_buffer_1d_t,method,12,air.atomic_exchange_explicit_texture_buffer_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture_buffer:482: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, ",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_atomic_exchange_0: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_buffer_1d.u.v4i32(%struct._texture_buffer_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32> zeroinitializer, i32 0, i",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_buffer_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:15Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_cube_array_t,method,12,air.atomic_exchange_explicit_texture_cube_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texturecube_array:1499: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_atomic_exchange_1: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_cube_array.u.v4i32(%struct._texture_cube_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, i32 0,",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_cube_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:15Z,promote_map.py@1.0.0
__metal_atomic_exchange_explicit_texture_cube_t,method,12,air.atomic_exchange_explicit_texture_cube.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texturecube:1502: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, _",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_atomic_exchange_2: %2 = tail call <4 x i32> @air.atomic_exchange_explicit_texture_cube.u.v4i32(%struct._texture_cube_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, <4 x i32> zeroinit",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_exchange_explicit_texture_cube_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:15Z,promote_map.py@1.0.0
__metal_atomic_fence,method,1,air.atomic.fence,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_atomic:155: __metal_atomic_fence(int(flags), int(order), int(scope));",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_atomic_fetch_add_explicit,method,2,air.atomic.global.add.s.i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_atomic:497: return __metal_atomic_fetch_add_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH",xcode_probe_golden,"golden/P07F40v3/metal40_macosx26/probe.ll @probe_p07f_atomic_fetch_add_explicit_2: %3 = tail call i32 @air.atomic.global.add.s.i32(i32 addrspace(1)* nocapture %2, i32 0, i32 0, i32 2, i1 true) #7",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:52Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_1d_array_t,method,12,air.atomic_fetch_add_explicit_texture_1d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d_array:1216: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, ",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_fetch_add_8: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_1d_array.u.v4i32(%struct._texture_1d_array_t addrspace(1)* nocapture %0, i32 0, i32 0, <4 x i32> zeroinitializer, i3",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_1d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_1d_t,method,12,air.atomic_fetch_add_explicit_texture_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture1d:1216: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_ME",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_fetch_add_9: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_1d.u.v4i32(%struct._texture_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32> zeroinitializer, i32 0, i32 3) #15",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_2d_array_t,method,12,air.atomic_fetch_add_explicit_texture_2d_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d_array:1872: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, ",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_fetch_add_10: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_2d_array.u.v4i32(%struct._texture_2d_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, <2 x i32>",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_2d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_2d_t,method,12,air.atomic_fetch_add_explicit_texture_2d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture2d:1884: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_fetch_add_11: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_2d.u.v4i32(%struct._texture_2d_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, <2 x i32> zeroinitializer, <",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_2d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_3d_t,method,12,air.atomic_fetch_add_explicit_texture_3d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture3d:1770: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_atomic_fetch_add_12: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_3d.u.v4i32(%struct._texture_3d_t addrspace(1)* nocapture %0, <3 x i32> zeroinitializer, <3 x i32> zeroinitializer, <",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_3d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:53Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_add_explicit_texture_buffer_1d.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texture_buffer:882: return __metal_atomic_fetch_add_explicit_texture_buffer_1d_t(derived.t, coord, operand,",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_atomic_fetch_add_3: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_buffer_1d.u.v4i32(%struct._texture_buffer_1d_t addrspace(1)* nocapture %0, i32 0, <4 x i32> zeroinitializer, i32 0, ",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_buffer_1d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:15Z,promote_map.py@1.0.0
__metal_atomic_fetch_add_explicit_texture_cube_array_t,method,12,air.atomic_fetch_add_explicit_texture_cube_array.u.v4i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),"__bits/metal_texturecube_array:1899: return __metal_atomic_fetch_add_explicit_texture_cube_array_t(derived.t, coord, fac",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_atomic_fetch_add_4: %2 = tail call <4 x i32> @air.atomic_fetch_add_explicit_texture_cube_array.u.v4i32(%struct._texture_cube_array_t addrspace(1)* nocapture %0, <2 x i32> zeroinitializer, i32 0, i32 0",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_atomic_fetch_add_explicit_texture_cube_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:15Z,promote_map.py@1.0.0
