__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:736: return __metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1392: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, co"
__metal_atomic_compare_exchange_weak_explicit_texture_2d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1404: return __metal_atomic_compare_exchange_weak_explicit_texture_2d_t(derived.t, coord, ushort2"
__metal_atomic_compare_exchange_weak_explicit_texture_3d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1290: return __metal_atomic_compare_exchange_weak_explicit_texture_3d_t(derived.t, coord, ushort3"
__metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:402: return __metal_atomic_compare_exchange_weak_explicit_texture_buffer_1d_t(derived.t, coo"
__metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube_array:1419: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_array_t(derived.t
__metal_atomic_compare_exchange_weak_explicit_texture_cube_t,method,12,air.atomic_compare_exchange_weak_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1422: return __metal_atomic_compare_exchange_weak_explicit_texture_cube_t(derived.t, coord, fac"
__metal_atomic_exchange_explicit,method,2,air.atomic.exchange,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:294: return T(__metal_atomic_exchange_explicit(&object->__s , decltype(object->__s)(desired), int(order), _"
__metal_atomic_exchange_explicit_texture_1d_array_t,method,12,air.atomic_exchange_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:816: return __metal_atomic_exchange_explicit_texture_1d_array_t(derived.t, coord, array, de"
__metal_atomic_exchange_explicit_texture_1d_t,method,12,air.atomic_exchange_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:816: return __metal_atomic_exchange_explicit_texture_1d_t(derived.t, coord, desired, __METAL_MEMO"
__metal_atomic_exchange_explicit_texture_2d_array_t,method,12,air.atomic_exchange_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1472: return __metal_atomic_exchange_explicit_texture_2d_array_t(derived.t, coord, array, u"
__metal_atomic_exchange_explicit_texture_2d_t,method,12,air.atomic_exchange_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1484: return __metal_atomic_exchange_explicit_texture_2d_t(derived.t, coord, ushort2(0), desired,"
__metal_atomic_exchange_explicit_texture_3d_t,method,12,air.atomic_exchange_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1370: return __metal_atomic_exchange_explicit_texture_3d_t(derived.t, coord, ushort3(0), desired,"
__metal_atomic_exchange_explicit_texture_buffer_1d_t,method,12,air.atomic_exchange_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:482: return __metal_atomic_exchange_explicit_texture_buffer_1d_t(derived.t, coord, desired, "
__metal_atomic_exchange_explicit_texture_cube_array_t,method,12,air.atomic_exchange_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1499: return __metal_atomic_exchange_explicit_texture_cube_array_t(derived.t, coord, face"
__metal_atomic_exchange_explicit_texture_cube_t,method,12,air.atomic_exchange_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1502: return __metal_atomic_exchange_explicit_texture_cube_t(derived.t, coord, face, desired, _"
__metal_atomic_fence,method,1,air.atomic.fence,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_atomic:155: __metal_atomic_fence(int(flags), int(order), int(scope));"
__metal_atomic_fetch_add_explicit,method,2,air.atomic.fetch.add,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:497: return __metal_atomic_fetch_add_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_add_explicit_texture_1d_array_t,method,12,air.atomic_fetch_add_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:1216: return __metal_atomic_fetch_add_explicit_texture_1d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_add_explicit_texture_1d_t,method,12,air.atomic_fetch_add_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:1216: return __metal_atomic_fetch_add_explicit_texture_1d_t(derived.t, coord, operand, __METAL_ME"
__metal_atomic_fetch_add_explicit_texture_2d_array_t,method,12,air.atomic_fetch_add_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1872: return __metal_atomic_fetch_add_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_add_explicit_texture_2d_t,method,12,air.atomic_fetch_add_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1884: return __metal_atomic_fetch_add_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_add_explicit_texture_3d_t,method,12,air.atomic_fetch_add_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1770: return __metal_atomic_fetch_add_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_add_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_add_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:882: return __metal_atomic_fetch_add_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_add_explicit_texture_cube_array_t,method,12,air.atomic_fetch_add_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1899: return __metal_atomic_fetch_add_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_add_explicit_texture_cube_t,method,12,air.atomic_fetch_add_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1902: return __metal_atomic_fetch_add_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_and_explicit,method,2,air.atomic.fetch.and,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:517: return __metal_atomic_fetch_and_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_and_explicit_texture_1d_array_t,method,12,air.atomic_fetch_and_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:896: return __metal_atomic_fetch_and_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_and_explicit_texture_1d_t,method,12,air.atomic_fetch_and_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:896: return __metal_atomic_fetch_and_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_and_explicit_texture_2d_array_t,method,12,air.atomic_fetch_and_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1552: return __metal_atomic_fetch_and_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_and_explicit_texture_2d_t,method,12,air.atomic_fetch_and_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1564: return __metal_atomic_fetch_and_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_and_explicit_texture_3d_t,method,12,air.atomic_fetch_and_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1450: return __metal_atomic_fetch_and_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_and_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_and_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:562: return __metal_atomic_fetch_and_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_and_explicit_texture_cube_array_t,method,12,air.atomic_fetch_and_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1579: return __metal_atomic_fetch_and_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_and_explicit_texture_cube_t,method,12,air.atomic_fetch_and_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1582: return __metal_atomic_fetch_and_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_max_explicit,method,2,air.atomic.fetch.max,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:537: return __metal_atomic_fetch_max_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_max_explicit_texture_1d_array_t,method,12,air.atomic_fetch_max_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:901: return __metal_atomic_fetch_max_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_max_explicit_texture_1d_t,method,12,air.atomic_fetch_max_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:901: return __metal_atomic_fetch_max_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_max_explicit_texture_2d_array_t,method,12,air.atomic_fetch_max_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1562: return __metal_atomic_fetch_max_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_max_explicit_texture_2d_t,method,12,air.atomic_fetch_max_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1574: return __metal_atomic_fetch_max_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_max_explicit_texture_3d_t,method,12,air.atomic_fetch_max_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1460: return __metal_atomic_fetch_max_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_max_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_max_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:567: return __metal_atomic_fetch_max_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_max_explicit_texture_cube_array_t,method,12,air.atomic_fetch_max_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1584: return __metal_atomic_fetch_max_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_max_explicit_texture_cube_t,method,12,air.atomic_fetch_max_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1587: return __metal_atomic_fetch_max_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_min_explicit,method,2,air.atomic.fetch.min,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:557: return __metal_atomic_fetch_min_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_min_explicit_texture_1d_array_t,method,12,air.atomic_fetch_min_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:906: return __metal_atomic_fetch_min_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_min_explicit_texture_1d_t,method,12,air.atomic_fetch_min_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:906: return __metal_atomic_fetch_min_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_min_explicit_texture_2d_array_t,method,12,air.atomic_fetch_min_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1572: return __metal_atomic_fetch_min_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_min_explicit_texture_2d_t,method,12,air.atomic_fetch_min_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1584: return __metal_atomic_fetch_min_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_min_explicit_texture_3d_t,method,12,air.atomic_fetch_min_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1470: return __metal_atomic_fetch_min_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_min_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_min_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:572: return __metal_atomic_fetch_min_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_min_explicit_texture_cube_array_t,method,12,air.atomic_fetch_min_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1589: return __metal_atomic_fetch_min_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_min_explicit_texture_cube_t,method,12,air.atomic_fetch_min_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1592: return __metal_atomic_fetch_min_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_or_explicit,method,2,air.atomic.fetch.or,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:577: return __metal_atomic_fetch_or_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_THR"
__metal_atomic_fetch_or_explicit_texture_1d_array_t,method,12,air.atomic_fetch_or_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:911: return __metal_atomic_fetch_or_explicit_texture_1d_array_t(derived.t, coord, array, op"
__metal_atomic_fetch_or_explicit_texture_1d_t,method,12,air.atomic_fetch_or_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:911: return __metal_atomic_fetch_or_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMO"
__metal_atomic_fetch_or_explicit_texture_2d_array_t,method,12,air.atomic_fetch_or_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1582: return __metal_atomic_fetch_or_explicit_texture_2d_array_t(derived.t, coord, array, u"
__metal_atomic_fetch_or_explicit_texture_2d_t,method,12,air.atomic_fetch_or_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1594: return __metal_atomic_fetch_or_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand,"
__metal_atomic_fetch_or_explicit_texture_3d_t,method,12,air.atomic_fetch_or_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1480: return __metal_atomic_fetch_or_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand,"
__metal_atomic_fetch_or_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_or_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:577: return __metal_atomic_fetch_or_explicit_texture_buffer_1d_t(derived.t, coord, operand, "
__metal_atomic_fetch_or_explicit_texture_cube_array_t,method,12,air.atomic_fetch_or_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1594: return __metal_atomic_fetch_or_explicit_texture_cube_array_t(derived.t, coord, face"
__metal_atomic_fetch_or_explicit_texture_cube_t,method,12,air.atomic_fetch_or_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1597: return __metal_atomic_fetch_or_explicit_texture_cube_t(derived.t, coord, face, operand, _"
__metal_atomic_fetch_sub_explicit,method,2,air.atomic.fetch.sub,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:597: return __metal_atomic_fetch_sub_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_sub_explicit_texture_1d_array_t,method,12,air.atomic_fetch_sub_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:1221: return __metal_atomic_fetch_sub_explicit_texture_1d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_sub_explicit_texture_1d_t,method,12,air.atomic_fetch_sub_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:1221: return __metal_atomic_fetch_sub_explicit_texture_1d_t(derived.t, coord, operand, __METAL_ME"
__metal_atomic_fetch_sub_explicit_texture_2d_array_t,method,12,air.atomic_fetch_sub_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1882: return __metal_atomic_fetch_sub_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_sub_explicit_texture_2d_t,method,12,air.atomic_fetch_sub_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1894: return __metal_atomic_fetch_sub_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_sub_explicit_texture_3d_t,method,12,air.atomic_fetch_sub_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1780: return __metal_atomic_fetch_sub_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_sub_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_sub_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:887: return __metal_atomic_fetch_sub_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_sub_explicit_texture_cube_array_t,method,12,air.atomic_fetch_sub_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1904: return __metal_atomic_fetch_sub_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_sub_explicit_texture_cube_t,method,12,air.atomic_fetch_sub_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1907: return __metal_atomic_fetch_sub_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_xor_explicit,method,2,air.atomic.fetch.xor,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:617: return __metal_atomic_fetch_xor_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_xor_explicit_texture_1d_array_t,method,12,air.atomic_fetch_xor_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:916: return __metal_atomic_fetch_xor_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_xor_explicit_texture_1d_t,method,12,air.atomic_fetch_xor_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:916: return __metal_atomic_fetch_xor_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_xor_explicit_texture_2d_array_t,method,12,air.atomic_fetch_xor_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1592: return __metal_atomic_fetch_xor_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_xor_explicit_texture_2d_t,method,12,air.atomic_fetch_xor_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1604: return __metal_atomic_fetch_xor_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_xor_explicit_texture_3d_t,method,12,air.atomic_fetch_xor_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1490: return __metal_atomic_fetch_xor_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_xor_explicit_texture_buffer_1d_t,method,12,air.atomic_fetch_xor_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:582: return __metal_atomic_fetch_xor_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_xor_explicit_texture_cube_array_t,method,12,air.atomic_fetch_xor_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1599: return __metal_atomic_fetch_xor_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_xor_explicit_texture_cube_t,method,12,air.atomic_fetch_xor_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1602: return __metal_atomic_fetch_xor_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_load_explicit,method,2,air.atomic.load,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:244: return T(__metal_atomic_load_explicit(&object->__s, int(order), __METAL_MEMORY_SCOPE_THREADGROUP__));"
__metal_atomic_load_explicit_texture_1d_array_t,method,12,air.atomic_load_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:576: return __metal_atomic_load_explicit_texture_1d_array_t(derived.t, coord, array, __META"
__metal_atomic_load_explicit_texture_1d_t,method,12,air.atomic_load_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:576: return __metal_atomic_load_explicit_texture_1d_t(derived.t, coord, __METAL_MEMORY_ORDER_RELA"
__metal_atomic_load_explicit_texture_2d_array_t,method,12,air.atomic_load_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1232: return __metal_atomic_load_explicit_texture_2d_array_t(derived.t, coord, array, ushor"
__metal_atomic_load_explicit_texture_2d_t,method,12,air.atomic_load_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1244: return __metal_atomic_load_explicit_texture_2d_t(derived.t, coord, ushort2(0), __METAL_MEMO"
__metal_atomic_load_explicit_texture_3d_t,method,12,air.atomic_load_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1130: return __metal_atomic_load_explicit_texture_3d_t(derived.t, coord, ushort3(0), __METAL_MEMO"
__metal_atomic_load_explicit_texture_buffer_1d_t,method,12,air.atomic_load_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:242: return __metal_atomic_load_explicit_texture_buffer_1d_t(derived.t, coord, __METAL_MEMOR"
__metal_atomic_load_explicit_texture_cube_array_t,method,12,air.atomic_load_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1259: return __metal_atomic_load_explicit_texture_cube_array_t(derived.t, coord, face, ar"
__metal_atomic_load_explicit_texture_cube_t,method,12,air.atomic_load_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1262: return __metal_atomic_load_explicit_texture_cube_t(derived.t, coord, face, __METAL_MEMORY"
__metal_atomic_max_explicit,method,1,air.atomic.max,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:656: __metal_atomic_max_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_DEVICE__);"
__metal_atomic_max_explicit_texture_1d_array_t,method,12,air.atomic_max_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:1356: __metal_atomic_max_explicit_texture_1d_array_t(derived.t, coord, array, operand, __ME"
__metal_atomic_max_explicit_texture_1d_t,method,12,air.atomic_max_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:1356: __metal_atomic_max_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RE"
__metal_atomic_max_explicit_texture_2d_array_t,method,12,air.atomic_max_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:2012: __metal_atomic_max_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), o"
__metal_atomic_max_explicit_texture_2d_t,method,12,air.atomic_max_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:2022: __metal_atomic_max_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEM"
