category,feature_name,introduced_in_std,required_target_triple,guard_macro,affected_builtins_or_types,cleanroom_codegen_rule
version_specific,Quad-Scoped SIMD Operations,metal2.2,air64_v22-apple-macosx10.15.0,__HAVE_QUAD_SIMD__,"quad_shuffle, quad_broadcast, quad_ballot, quad_vote_all/any",Emit `air.quad_shuffle.*` and `air.quad_vote.*` intrinsics
version_specific,Subgroup & SIMD Group Reduction,metal2.1,air64_v21-apple-macosx10.14.0,__HAVE_SIMD_GROUP_REDUCTION__,"simd_sum, simd_product, simd_min, simd_max, simd_prefix_exclusive_sum",Emit `air.simd_reduce.*` and `air.simd_prefix.*` operations
version_specific,Visible Function Table & Dynamic Dispatch,metal2.3,air64_v23-apple-macosx11.0.0,__HAVE_VISIBLE_FUNCTION_TABLE__,"visible_function_table<T>, intersection_function_table<>, function_handle",Emit `air.get_function_handle` and indirect function call tables
version_specific,Indirect Command Buffers (ICB),metal2.1,air64_v21-apple-macosx10.14.0,__HAVE_INDIRECT_ARGUMENT_BUFFER__,"command_buffer, render_command, compute_command, draw_primitives, dispatch_threadgroups",Emit `air.render_command.*` and `air.compute_command.*` ICB builder calls
version_specific,Imageblock Memory & Subgroup Operations,metal2.0,air64_v20-apple-macosx10.13.0,__HAVE_IMAGEBLOCKS__,"imageblock<T>, imageblock_layout, read_imageblock_slice, write_imageblock_slice",Emit `air.read_imageblock.*` and `air.write_imageblock.*` address space 3/4 access
version_specific,Metal 4.1 Clean-Room Forward Compatibility,metal4.1,air64_v28-apple-macosx26.0.0+,__HAVE_METAL4_1__,"!air.language_version = !{!""Metal"", i32 4, i32 1, i32 0}","Accept `-std=metal4.1` flag, emit `4.1.0` language version, define `__HAVE_METAL4_1__` macro"
target_specific,macOS Desktop GPU ABI (OSX / MacABI),metal1.0+,air64-apple-macosx10.11.0+,TARGET_OS_OSX;TARGET_OS_MACCATALYST,"libair_rt_osx.rtlib, libair_rt_iosmac.rtlib, libtracepoint_rt_osx.metallib",Select `osx` or `iosmac` slice from fat `.metallib` container (`cputype=0x01000017`)
target_specific,iOS Mobile GPU ABI (iPhone / iPad),metal1.0+,air64-apple-ios8.0.0+,TARGET_OS_IPHONE;TARGET_OS_IOS,"libair_rt_ios.rtlib, libtracepoint_rt_ios.metallib",Select `ios` slice (`air64-apple-ios*`) from runtime container
target_specific,tvOS / watchOS Embedded ABI,metal1.0+,air64-apple-tvos12.0.0+ / watchos5.0+,TARGET_OS_TV;TARGET_OS_WATCH,"libair_rt_tvos.rtlib, libair_rt_watchos.rtlib",Select `tvos` / `watchos` slice from runtime container
target_specific,visionOS / xrOS Spatial Computing ABI,metal3.1+,air64_v26-apple-xros1.0.0+,TARGET_OS_XROS;TARGET_OS_VISION,"libair_rt_xros.rtlib, libtracepoint_rt_xros.metallib",Select `xros` spatial slice (`air64_v26+`) from runtime container
target_specific,Apple Silicon AGX Hardware Matrix & Raytracing,metal2.3+,air64_v23-apple-macosx11.0.0+ (arm64),__HAVE_APPLE_SILICON_AGX__;__HAVE_SIMDGROUP_MATRIX__,AGX Hardware Raytracing / Simdgroup Matrix Engines,Direct hardware instructions via `libapplegpu*-nt.dylib` backend
target_specific,Simulator Host Paravirtualization ABI,metal2.0+,air64-apple-ios13.0.0-simulator+,TARGET_OS_SIMULATOR,"libair_rt_iossim.rtlib, libair_rt_tvossim.rtlib, libair_rt_watchossim.rtlib",Select `*sim` paravirtual slice from container (`apple-*-simulator` triple)
