feature_id,layer,feature,syntax_example,clang_impl_point,upstream_analog,evidence,source_ref,msl_since,implement_status,notes
FE-0011,lexer,function-class keyword `fragment`,fragment float4 f(),Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),hlsl (entry 修飾類),observed_header,,,verified,実ヘッダ出現 0 file
FE-0012,lexer,function-class keyword `visible`,visible float4 f(),Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),hlsl (entry 修飾類),observed_header,metal_visible_function_table,,verified,実ヘッダ出現 1 file
FE-0013,lexer,function-class keyword `stitchable`,stitchable float4 f(),Lexer/IdentifierTable: キーワード登録 (tok::kw_* or contextual),hlsl (entry 修飾類),observed_header,,,verified,実ヘッダ出現 0 file
FE-0014,attr,[[accept_intersection]],[[accept_intersection]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0015,attr,[[alias_implicit_imageblock]],[[alias_implicit_imageblock]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0016,attr,[[alias_implicit_imageblock_color]],[[alias_implicit_imageblock_color]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0017,attr,[[amplification_count]],[[amplification_count]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0018,attr,[[amplification_id]],[[amplification_id]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0019,attr,[[attribute]],[[attribute]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0020,attr,[[barycentric_coord]],[[barycentric_coord]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0021,attr,[[base_instance]],[[base_instance]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0022,attr,[[base_vertex]],[[base_vertex]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0023,attr,[[buffer]],[[buffer]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0024,attr,[[center_no_perspective]],[[center_no_perspective]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0025,attr,[[center_perspective]],[[center_perspective]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0026,attr,[[centroid_no_perspective]],[[centroid_no_perspective]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0027,attr,[[centroid_perspective]],[[centroid_perspective]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0028,attr,[[clang::valist_size]],[[clang::valist_size]],AttributeList + Attr.td ('[[x]]' spelling → ParsedAttr → Sema 処理),(個別対応表参照),observed_header,metal_logging,,verified,
FE-0029,attr,[[clip_distance]],[[clip_distance]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0030,attr,[[color]],[[color]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0031,attr,[[continue_search]],[[continue_search]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0032,attr,[[depth]],[[depth]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0033,attr,[[direction]],[[direction]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0034,attr,[[dispatch_quadgroups_per_threadgroup]],[[dispatch_quadgroups_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0035,attr,[[dispatch_simdgroups_per_threadgroup]],[[dispatch_simdgroups_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0036,attr,[[dispatch_threads_per_threadgroup]],[[dispatch_threads_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0037,attr,[[distance]],[[distance]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0038,attr,[[early_fragment_tests]],[[early_fragment_tests]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0039,attr,[[flat]],[[flat]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0040,attr,[[fragment]],[[fragment]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0041,attr,[[front_facing]],[[front_facing]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0042,attr,[[function_constant]],[[function_constant]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0043,attr,[[function_groups]],[[function_groups]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0044,attr,[[host_name]],[[host_name]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0045,attr,[[id]],[[id]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0046,attr,[[imageblock_data]],[[imageblock_data]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0047,attr,[[instance_id]],[[instance_id]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0048,attr,[[intersection]],[[intersection]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0049,attr,[[invariant]],[[invariant]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0050,attr,[[kernel]],[[kernel]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0051,attr,[[max_distance]],[[max_distance]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0052,attr,[[max_total_threadgroups_per_mesh_grid]],[[max_total_threadgroups_per_mesh_grid]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0053,attr,[[max_total_threads_per_threadgroup]],[[max_total_threads_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0054,attr,[[mesh]],[[mesh]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0055,attr,[[min_distance]],[[min_distance]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0056,attr,[[object]],[[object]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0057,attr,[[origin]],[[origin]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0058,attr,[[patch]],[[patch]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0059,attr,[[payload]],[[payload]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0060,attr,[[pixel_position_in_tile]],[[pixel_position_in_tile]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0061,attr,[[pixels_per_tile]],[[pixels_per_tile]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0062,attr,[[point_coord]],[[point_coord]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0063,attr,[[point_size]],[[point_size]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0064,attr,[[position]],[[position]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0065,attr,[[primitive_culled]],[[primitive_culled]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0066,attr,[[primitive_id]],[[primitive_id]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0067,attr,[[quadgroup_index_in_threadgroup]],[[quadgroup_index_in_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0068,attr,[[quadgroups_per_threadgroup]],[[quadgroups_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0069,attr,[[raster_order_group]],[[raster_order_group]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0070,attr,[[render_target_array_index]],[[render_target_array_index]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0071,attr,[[required_threads_per_threadgroup]],[[required_threads_per_threadgroup]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
FE-0072,attr,[[sample_id]],[[sample_id]],"SemaDeclAttr/AST: MSL 属性 (`[[buffer(N)]]`, `[[texture(N)]]`, `[[stage_in]]`, `[[thread_position_in_grid]]` 等) の検証とメタデータ生成",(個別対応表参照),apple_msl_spec_pdf,MSL spec PDF (data/spec_attributes.csv),,verified_msl_core,"実機コンパイル IR (`!air.kernel`, `!air.arg_type_name` 等) により実証済"
