entity_path,entity_type,cleanroom_target_name,primary_builtins_or_symbols,feature_guards,cleanroom_implementation_spec
include/metal/metal_interpolate,header_module (.metal / .h),metal_interpolate.metal,__HAVE_INTERPOLATION_FUNCTIONS__,1,Standard MSL Header (`metal_interpolate.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_limits,header_module (.metal / .h),metal_limits.metal,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__,2,Standard MSL Header (`metal_limits.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_logging,header_module (.metal / .h),metal_logging.metal,__HAVE_LOGGING__,1,Standard MSL Header (`metal_logging.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_math,header_module (.metal / .h),metal_math.metal,__HAVE_DIVIDE__;__HAVE_FMAX3__;__HAVE_FMA__;__HAVE_FMEDIAN3__;__HAVE_FMIN3__;__HAVE_MAX3__;__HAVE_MEDIAN3__;__HAVE_MIN3__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_NEXTAFTER__;__HAVE_TRIG_PI__,12,Standard MSL Header (`metal_math.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_matrix,header_module (.metal / .h),metal_matrix.metal,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MAKE_FILLED_MATRIX__;__HAVE_MATRIX_MULTIPLE_SCALAR_CONSTRUCTORS__;__HAVE_MATRIX_SCALAR_DIVISION__;__HAVE_MATRIX_THREADGROUP_DEFAULT_CONSTRUCTOR__;__HAVE_MESH__;__HAVE_NATIVE_DOUBLE__;__HAVE_RAYTRACING__,9,Standard MSL Header (`metal_matrix.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_mesh,header_module (.metal / .h),metal_mesh.metal,__HAVE_MESH__,1,Standard MSL Header (`metal_mesh.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_numeric,header_module (.metal / .h),metal_numeric.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_numeric.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_pack,header_module (.metal / .h),metal_pack.metal,__HAVE_PACK_UNPACK_RGB10A2_SNORM_FUNCTIONS__,1,Standard MSL Header (`metal_pack.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_packed_numeric,header_module (.metal / .h),metal_packed_numeric.metal,__HAVE_INT4B_FORMAT_TYPE__;__HAVE_PACKED_NUMERIC_TYPE__;__HAVE_PACKED_NUMERIC__,3,Standard MSL Header (`metal_packed_numeric.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_packed_vector,header_module (.metal / .h),metal_packed_vector.metal,__HAVE_BFLOAT__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SIMD_TYPES_PREFIX__,4,Standard MSL Header (`metal_packed_vector.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_pixel,header_module (.metal / .h),metal_pixel.metal,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_PIXEL_DATA_TYPES__;__HAVE_RAYTRACING__,5,Standard MSL Header (`metal_pixel.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_quadgroup,header_module (.metal / .h),metal_quadgroup.metal,__HAVE_NATIVE_DOUBLE__;__HAVE_QUADGROUP_BALLOT__;__HAVE_QUADGROUP_BROADCAST_FIRST__;__HAVE_QUADGROUP_IS_FIRST__;__HAVE_QUADGROUP_REDUCTION__;__HAVE_QUADGROUP_SHUFFLE_AND_FILL__;__HAVE_QUADGROUP_SHUFFLE_ROTATE_DOWN__;__HAVE_QUADGROUP_SHUFFLE_ROTATE_UP__;__HAVE_QUADGROUP__,9,Standard MSL Header (`metal_quadgroup.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_raytracing,header_module (.metal / .h),metal_raytracing.metal,__HAVE_COHERENT__;__HAVE_MESH__;__HAVE_RAYTRACING_CURVES__;__HAVE_RAYTRACING_DIRECT_ACCESS__;__HAVE_RAYTRACING_EXTENDED_LIMITS__;__HAVE_RAYTRACING_INDIRECT_INSTANCE_BUILD__;__HAVE_RAYTRACING_INSTANCE_RANDOM_ACCESS__;__HAVE_RAYTRACING_INSTANCE_TRANSFORMS__;__HAVE_RAYTRACING_INTERSECTION_FUNCTION_BUFFER__;__HAVE_RAYTRACING_INTERSECTION_FUNCTION_HANDLES__;__HAVE_RAYTRACING_INTERSECTION_QUERY__;__HAVE_RAYTRACING_MOTION__;__HAVE_RAYTRACING_MULTI_LEVEL_INSTANCING__;__HAVE_RAYTRACING_PRIMITIVE_DATA__;__HAVE_RAYTRACING_TABLE_GET_BUFFERS__;__HAVE_RAYTRACING_TABLE_SET_BUFFERS__;__HAVE_RAYTRACING_USER_INSTANCE_ID__;__HAVE_RAYTRACING__,18,Inline MSL Header (`metal_raytracing.metal`) — intersector/query/result 組み込み関数ラッパー
include/metal/metal_relational,header_module (.metal / .h),metal_relational.metal,__HAVE_BFLOAT__;__HAVE_INTEGER_LONG_FUNCTIONS__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SELECT_FAST_PRECISE_FUNCTIONS__,5,Standard MSL Header (`metal_relational.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_simdgroup,header_module (.metal / .h),metal_simdgroup.metal,__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_WIDE_VECTORS__;__HAVE_SIMDGROUP_BALLOT__;__HAVE_SIMDGROUP_BROADCAST_FIRST__;__HAVE_SIMDGROUP_IS_FIRST__;__HAVE_SIMDGROUP_REDUCTION__;__HAVE_SIMDGROUP_SHUFFLE_AND_FILL__;__HAVE_SIMDGROUP_SHUFFLE_ROTATE_DOWN__;__HAVE_SIMDGROUP_SHUFFLE_ROTATE_UP__;__HAVE_SIMDGROUP__,10,Inline MSL Header (`simd.metal`) — SIMD/ベクトル/行列演算 C++ インライン展開ラッパー
include/metal/metal_simdgroup_matrix,header_module (.metal / .h),metal_simdgroup_matrix.metal,__HAVE_BFLOAT__;__HAVE_SIMDGROUP_MATRIX__,2,Inline MSL Header (`simd.metal`) — SIMD/ベクトル/行列演算 C++ インライン展開ラッパー
include/metal/metal_stdlib,header_module (.metal / .h),metal_stdlib.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_stdlib.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_tensor,header_module (.metal / .h),metal_tensor.metal,__HAVE_COHERENT__;__HAVE_NATIVE_DOUBLE__;__HAVE_PACKED_NUMERIC_TYPE__;__HAVE_PACKED_NUMERIC__;__HAVE_TENSOR__,5,Inline MSL Header (`metal_tensor.metal`) — テンソル演算・不透明構造体定義ラッパー
include/metal/metal_tessellation,header_module (.metal / .h),metal_tessellation.metal,__HAVE_OPERATOR_ADDRESSOF_DELETED__;__HAVE_TESSELLATION__,2,Standard MSL Header (`metal_tessellation.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_texture,header_module (.metal / .h),metal_texture.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_texture.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_type_traits,header_module (.metal / .h),metal_type_traits.metal,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__;__HAVE_TYPE_TRAIT_ADD_CONST__;__HAVE_TYPE_TRAIT_ADD_POINTER__;__HAVE_TYPE_TRAIT_COMMON_TYPE__;__HAVE_TYPE_TRAIT_IS_ABSTRACT__;__HAVE_TYPE_TRAIT_IS_ARRAY__;__HAVE_TYPE_TRAIT_IS_CONSTRUCTIBLE__;__HAVE_TYPE_TRAIT_IS_VOLATILE__;__HAVE_TYPE_TRAIT_REMOVE_EXTENT__,12,Standard MSL Header (`metal_type_traits.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_types,header_module (.metal / .h),metal_types.metal,__HAVE_ATOMIC_FENCE__;__HAVE_BFLOAT__;__HAVE_FUNCTION_CONSTANTS__;__HAVE_IMAGEBLOCKS__;__HAVE_MEMORY_COHERENCE__;__HAVE_MESH__;__HAVE_MTL_RESOURCE_ID__;__HAVE_NATIVE_DOUBLE__;__HAVE_NATIVE_LONG_LONG__;__HAVE_NULLPTR_T__;__HAVE_RAYTRACING__;__HAVE_TESSELLATION__;__HAVE_TEXTURE_READWRITE__;__HAVE_THREAD_SCOPE__,14,Standard MSL Header (`metal_types.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_types.h,header_module (.metal / .h),metal_types.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`metal_types.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_uniform,header_module (.metal / .h),metal_uniform.metal,__HAVE_COHERENT__;__HAVE_IMAGEBLOCKS__;__HAVE_MESH__;__HAVE_RAYTRACING__;__HAVE_UNIFORM__,5,Standard MSL Header (`metal_uniform.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_utility,header_module (.metal / .h),metal_utility.metal,__HAVE_UTILITY_INDEX_SEQUENCE__,1,Standard MSL Header (`metal_utility.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_vertex_value,header_module (.metal / .h),metal_vertex_value.metal,__HAVE_VERTEX_VALUE__,1,Standard MSL Header (`metal_vertex_value.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/metal_visible_function_table,header_module (.metal / .h),metal_visible_function_table.metal,__HAVE_COHERENT__;__HAVE_FUNCTION_HANDLES__;__HAVE_MESH__;__HAVE_RAYTRACING__;__HAVE_VISIBLE_FUNCTION_TABLE__,5,Standard MSL Header (`metal_visible_function_table.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/module.modulemap,header_module (.metal / .h),module.modulemap.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`module.modulemap.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/__bits/metal_depth2d,header_module (.metal / .h),metal_depth2d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,17,Internal Header Submodule (`metal_depth2d.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_depth2d_array,header_module (.metal / .h),metal_depth2d_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,17,Internal Header Submodule (`metal_depth2d_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_depth2d_ms,header_module (.metal / .h),metal_depth2d_ms.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__,11,Internal Header Submodule (`metal_depth2d_ms.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_depth2d_ms_array,header_module (.metal / .h),metal_depth2d_ms_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEPTH_2D_MS_ARRAY__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__,12,Internal Header Submodule (`metal_depth2d_ms_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_depthcube,header_module (.metal / .h),metal_depthcube.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEPTH_CUBE_READ__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,16,Internal Header Submodule (`metal_depthcube.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_depthcube_array,header_module (.metal / .h),metal_depthcube_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEPTH_CUBE_ARRAY__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__;__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__;__HAVE_SPARSE_TEXTURES__,18,Internal Header Submodule (`metal_depthcube_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture1d,header_module (.metal / .h),metal_texture1d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,13,Internal Header Submodule (`metal_texture1d.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture1d_array,header_module (.metal / .h),metal_texture1d_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,14,Internal Header Submodule (`metal_texture1d_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d,header_module (.metal / .h),metal_texture2d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture2d.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_array,header_module (.metal / .h),metal_texture2d_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture2d_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_ms,header_module (.metal / .h),metal_texture2d_ms.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,12,Internal Header Submodule (`metal_texture2d_ms.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_ms_array,header_module (.metal / .h),metal_texture2d_ms_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_2D_MS_ARRAY__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,13,Internal Header Submodule (`metal_texture2d_ms_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture3d,header_module (.metal / .h),metal_texture3d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture3d.metal`) — stdlib 内部実装詳細・型定義
